cve_ent,poblacion,nombre,estado,total
1,1434635,AGUASCALIENTES,Aguascalientes,41
2,3634868,BAJA CALIFORNIA,Baja California,207
3,804708,BAJA CALIFORNIA SUR,Baja California Sur,66
4,1000617,CAMPECHE,Campeche,75
7,5730367,CHIAPAS,Chiapas,71
8,3801487,CHIHUAHUA,Chihuahua,81
9,9018645,DISTRITO FEDERAL,Distrito Federal,983
5,3218720,COAHUILA,Coahuila,342
6,785153,COLIMA,Colima,22
10,1868996,DURANGO,Durango,59
11,6228175,GUANAJUATO,Guanajuato,411
12,3657048,GUERRERO,Guerrero,251
13,3086414,HIDALGO,Hidalgo,97
14,8409693,JALISCO,Jalisco,206
15,17427790,MEXICO,Mexico,870
16,4825401,MICHOACAN,Michoacan,173
17,2044058,MORELOS,Morelos,54
18,1288571,NAYARIT,Nayarit,61
19,5610153,NUEVO LEON,Nuevo Leon,401
20,4143593,OAXACA,Oaxaca,197
21,6604451,PUEBLA,Puebla,369
22,2279637,QUERETARO,Queretaro,62
23,1723259,QUINTANA ROO,Quintana Roo,175
24,2866142,SAN LUIS POTOSI,San Luis Potosi,137
25,3156674,SINALOA,Sinaloa,181
26,3074745,SONORA,Sonora,408
27,2572287,TABASCO,Tabasco,394
28,3650602,TAMAULIPAS,Tamaulipas,489
29,1380011,TLAXCALA,Tlaxcala,88
30,8539862,VERACRUZ,Veracruz,357
31,2259098,YUCATAN,Yucatan,192
32,1666426,ZACATECAS,Zacatecas,43
